HBOS;ABOD;LDOF;LOF;INFLO;DBSCAN;ODC;OF;CLOPD;ROCF;CBLOF;HALFSPACE_DEPTH;PROJECTION_DEPTH;SIMPLICIAL_DEPTH
5.678924442314759;0.021406729537727372;1.3722520910747789;0.957609498409943;1.0385778159012138;0.141520937098083;0.34713510515636886;;0.3764757436949981;4.806910414378862e-06;35.45323277032992;0.009166666666666667;0.16247162525913286;0.80125
5.387577436642058;0.012301220604767493;0.7373076913829828;1.015447978707043;1.3924761868593618;0.07596710858788054;0.5185660262326741;;0.26067449231251394;4.806910414378862e-06;25.572003028061623;0.01;0.13771996616540777;0.80025
5.53888542273025;0.00019789760856533446;1.8292109456649395;4.179107225020899;5.162197522977225;1.0000000000000002;0.8231611741505085;;0.5260939830535682;4.806910414378862e-06;11.959315812466263;0.0004166666666666667;0.15805042046688125;0.80125
4.753439588057308;;0.0;0.9901998138403298;1.0;0.0;0.8068514806716692;;0.0;4.806910414378862e-06;9.909029340079575;0.0275;0.2270661037612508;0.81675
5.282226642927889;0.0066327157016797195;1.313054480164403;0.9731884534862305;2.522411758585373;0.5026441221545637;0.8975556104168196;;0.3098877003290153;4.806910414378862e-06;9.059930400791634;0.0033333333333333335;0.12054253597200285;0.806
6.36048933489713;0.10048367801029397;1.4013517137210476;0.9737280001778353;1.2749441159205683;0.0;1.2841744660505259;;0.17082585317595106;4.806910414378862e-06;16.37052882063325;0.0008333333333333334;0.1360735273702853;0.79925
5.425837360919196;0.04169843297915891;0.7430511854644365;1.04736206808303;0.9197933854373403;7.298828109373253e-11;0.8159363367517647;;0.22644232773391057;4.806910414378862e-06;22.855311949161482;0.056666666666666664;0.25202660869973514;0.8
4.81191767157007;0.5956301561826616;1.1149271988567844;0.9959119417579221;3.1474482632323078;0.5944464469666884;0.7187760375790931;;0.2152281524937632;4.806910414378862e-06;21.181916035024287;0.019166666666666665;0.15218661342702394;0.80825
5.292436273851003;0.0005434649179529903;1.8451223855749899;1.0057327101332822;3.763562106725885;0.8143046617281248;0.12883508095046556;;0.20797389264193328;4.806910414378862e-06;21.551539929540755;0.08041666666666666;0.36018950694775503;0.80475
5.026851232374564;;0.0;1.0123725546413092;1.0;0.0;0.8072927816460843;;0.0;4.806910414378862e-06;10.233087825154303;0.011666666666666667;0.2115898751540312;0.80575
5.678924442314759;0.25123118804037997;0.8608020584683757;0.962491188370367;0.9086544248567258;1.4012660811663093e-11;0.33697807726416135;;0.3510262345721778;4.806910414378862e-06;35.21012143357639;0.022083333333333333;0.16175164090255129;0.7945
5.8426834668328524;0.05721556824524448;0.6726304689342345;0.987319242979931;0.972521336538763;0.5055599023487106;1.0981712455514194;;0.2803517287926289;4.806910414378862e-06;10.762615916550502;0.004583333333333333;0.1296380479896417;0.79525
5.546546898395015;0.001960790781229725;1.9456409287957996;1.1759512642446792;1.8161047139473516;0.9999999998502537;0.6390155529116931;;0.5007696785361704;4.806910414378862e-06;17.24724149213452;0.0008333333333333334;0.18141899587087068;0.7985
4.753439588057308;;0.0;1.0049628457846924;1.0;0.0;0.8029580394661177;;0.0;4.806910414378862e-06;9.397104964054627;0.029166666666666667;0.23041050104719968;0.8065
5.823584374335391;4.630390759432506e-05;1.9834690537350428;1.013689169906626;3.6759340563630136;0.9122191395935495;0.7039159903625353;;0.4602850172234784;4.806910414378862e-06;16.339967147065842;0.00375;0.12790475035168386;0.8075
6.497080873671898;56.3482528087384;0.6662095843732532;0.9737280001778356;0.6555753821827188;0.0;1.2836413631003822;;0.14267775705594404;4.806910414378862e-06;16.27480303620243;0.00125;0.13651491415709088;0.801
5.407152400289483;0.052842143337989096;0.7676498015968518;1.5592587920849095;1.0340580422683354;0.0;0.28109828005073695;;0.1805888155065749;4.806910414378862e-06;17.16665521925511;0.04791666666666667;0.23397412229840314;0.79775
12.718971236169414;0.4626284435504358;1.0189012287974126;1.0076757765169;1.9972774904591124;0.0;1.3001443729013176;;1.463375397925606;4.806910414378862e-06;14.413439947678922;0.017083333333333332;0.1659861483988992;0.24225
5.826132529593739;0.0007588544698805911;6.59838175813121;1.0537483653720092;3.4556587817802917;0.0;0.2347862145558478;;0.21314850576551356;4.806910414378862e-06;23.913986865960563;0.04083333333333333;0.3344393091855914;0.80525
