number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
38191002,45.09,6.09,2016-01-01 00:24:00,360.0,2.6,0.0,90.0,274.05,0,24,0,0 days 00:24:00
38548001,45.08,5.56,2016-01-01 00:24:00,40.0,0.8,0.0,99.0,277.05,0,24,0,0 days 00:24:00
74042003,46.07,6.38,2016-01-01 00:24:00,70.0,1.0,0.2,98.0,279.45,0,24,0,0 days 00:24:00
83148002,43.39,6.53,2016-01-01 00:24:00,30.0,1.8,0.0,82.0,281.15,0,24,0,0 days 00:24:00
84025001,43.88,5.16,2016-01-01 00:24:00,0.0,0.0,0.0,98.0,281.55,0,24,0,0 days 00:24:00
7187001,44.61,4.24,2016-01-01 00:30:00,330.0,2.1,0.0,97.0,278.65,0,30,0,0 days 00:30:00
15122002,44.73,2.17,2016-01-01 00:30:00,80.0,1.3,0.0,97.0,276.75,0,30,0,0 days 00:30:00
19164001,45.7,2.06,2016-01-01 00:30:00,90.0,1.5,0.0,100.0,273.95,0,30,0,0 days 00:30:00
26321003,44.55,5.28,2016-01-01 00:30:00,0.0,0.0,0.0,98.0,279.45,0,30,0,0 days 00:30:00
34209002,43.32,3.35,2016-01-01 00:30:00,310.0,1.3,0.0,96.0,283.45,0,30,0,0 days 00:30:00
38191002,45.09,6.09,2016-01-01 00:30:00,350.0,2.2,0.0,90.0,274.05,0,30,0,0 days 00:30:00
38548001,45.08,5.56,2016-01-01 00:30:00,30.0,0.6,0.0,99.0,277.05,0,30,0,0 days 00:30:00
74042003,46.07,6.38,2016-01-01 00:30:00,90.0,1.3,0.0,98.0,279.45,0,30,0,0 days 00:30:00
83148002,43.39,6.53,2016-01-01 00:30:00,30.0,1.9,0.0,82.0,281.15,0,30,0,0 days 00:30:00
84025001,43.88,5.16,2016-01-01 00:30:00,0.0,0.0,0.0,98.0,281.45,0,30,0,0 days 00:30:00
7187001,44.61,4.24,2016-01-01 00:36:00,340.0,2.0,0.0,98.0,278.65,0,36,0,0 days 00:36:00
15122002,44.73,2.17,2016-01-01 00:36:00,40.0,1.0,0.0,97.0,276.85,0,36,0,0 days 00:36:00
19164001,45.7,2.06,2016-01-01 00:36:00,90.0,1.5,0.0,100.0,273.95,0,36,0,0 days 00:36:00
26321003,44.55,5.28,2016-01-01 00:36:00,0.0,0.0,0.0,98.0,279.45,0,36,0,0 days 00:36:00
34209002,43.32,3.35,2016-01-01 00:36:00,320.0,1.0,0.0,96.0,283.55,0,36,0,0 days 00:36:00
38191002,45.09,6.09,2016-01-01 00:36:00,340.0,1.8,0.0,89.0,274.05,0,36,0,0 days 00:36:00
38548001,45.08,5.56,2016-01-01 00:36:00,90.0,0.4,0.0,99.0,276.95,0,36,0,0 days 00:36:00
74042003,46.07,6.38,2016-01-01 00:36:00,70.0,0.8,0.0,99.0,279.45,0,36,0,0 days 00:36:00
83148002,43.39,6.53,2016-01-01 00:36:00,30.0,1.7,0.0,82.0,281.15,0,36,0,0 days 00:36:00
84025001,43.88,5.16,2016-01-01 00:36:00,0.0,0.0,0.0,98.0,281.45,0,36,0,0 days 00:36:00
7187001,44.61,4.24,2016-01-01 00:42:00,340.0,2.0,0.0,97.0,278.75,0,42,0,0 days 00:42:00
15122002,44.73,2.17,2016-01-01 00:42:00,360.0,1.3,0.0,97.0,276.95,0,42,0,0 days 00:42:00
19164001,45.7,2.06,2016-01-01 00:42:00,110.0,1.3,0.0,100.0,273.95,0,42,0,0 days 00:42:00
26321003,44.55,5.28,2016-01-01 00:42:00,0.0,0.0,0.0,97.0,279.45,0,42,0,0 days 00:42:00
34209002,43.32,3.35,2016-01-01 00:42:00,340.0,0.7,0.0,96.0,283.55,0,42,0,0 days 00:42:00
38191002,45.09,6.09,2016-01-01 00:42:00,350.0,2.0,0.0,89.0,274.05,0,42,0,0 days 00:42:00
38548001,45.08,5.56,2016-01-01 00:42:00,140.0,0.4,0.0,99.0,277.05,0,42,0,0 days 00:42:00
74042003,46.07,6.38,2016-01-01 00:42:00,60.0,0.7,0.2,98.0,279.55,0,42,0,0 days 00:42:00
83148002,43.39,6.53,2016-01-01 00:42:00,30.0,1.1,0.0,82.0,281.05,0,42,0,0 days 00:42:00
84025001,43.88,5.16,2016-01-01 00:42:00,360.0,0.6,0.0,98.0,281.55,0,42,0,0 days 00:42:00
7187001,44.61,4.24,2016-01-01 00:48:00,340.0,2.4,0.0,97.0,278.65,0,48,0,0 days 00:48:00
15122002,44.73,2.17,2016-01-01 00:48:00,10.0,1.0,0.0,97.0,276.75,0,48,0,0 days 00:48:00
19164001,45.7,2.06,2016-01-01 00:48:00,120.0,1.3,0.0,100.0,273.95,0,48,0,0 days 00:48:00
26321003,44.55,5.28,2016-01-01 00:48:00,0.0,0.0,0.0,98.0,279.45,0,48,0,0 days 00:48:00
34209002,43.32,3.35,2016-01-01 00:48:00,0.0,0.0,0.0,96.0,283.55,0,48,0,0 days 00:48:00
38191002,45.09,6.09,2016-01-01 00:48:00,360.0,2.0,0.0,88.0,274.15,0,48,0,0 days 00:48:00
38548001,45.08,5.56,2016-01-01 00:48:00,180.0,0.3,0.0,99.0,277.05,0,48,0,0 days 00:48:00
74042003,46.07,6.38,2016-01-01 00:48:00,120.0,0.7,0.0,99.0,279.55,0,48,0,0 days 00:48:00
83148002,43.39,6.53,2016-01-01 00:48:00,40.0,0.6,0.0,85.0,280.95,0,48,0,0 days 00:48:00
84025001,43.88,5.16,2016-01-01 00:48:00,360.0,0.6,0.0,98.0,281.45,0,48,0,0 days 00:48:00
7187001,44.61,4.24,2016-01-01 00:54:00,340.0,3.1,0.0,97.0,278.65,0,54,0,0 days 00:54:00
15122002,44.73,2.17,2016-01-01 00:54:00,40.0,0.7,0.0,97.0,276.75,0,54,0,0 days 00:54:00
